league_id,league,country,tier,gender,goals_per_game,home_supremacy,home_adv_log,rho,p_home,p_draw,p_away,p_over25,p_btts,efficiency_tier,typical_margin_1x2_pct,w_market_default,min_edge,kelly_fraction,nb_shape
LIB,Copa Libertadores,CONMEBOL,0,H,2.45,0.45,0.186,-0.05,0.469,0.277,0.254,0.443,0.49,3,5.0,0.48,0.04,0.18,14
WENG1,Women's Super League,Angleterre,1,F,3.2,0.25,0.078,-0.03,0.434,0.239,0.327,0.62,0.637,4,7.5,0.35,0.055,0.13,10
WUSA1,NWSL,Etats-Unis,1,F,2.65,0.22,0.083,-0.03,0.418,0.267,0.316,0.494,0.54,3,5.0,0.48,0.04,0.18,14
WFRA1,Premiere Ligue,France,1,F,3.4,0.2,0.059,-0.03,0.426,0.231,0.343,0.66,0.669,4,7.5,0.35,0.055,0.13,10
WGER1,Frauen-Bundesliga,Allemagne,1,F,3.2,0.22,0.069,-0.03,0.427,0.239,0.334,0.62,0.638,4,7.5,0.35,0.055,0.13,10
WESP1,Liga F,Espagne,1,F,3.4,0.22,0.065,-0.03,0.43,0.231,0.339,0.66,0.669,4,7.5,0.35,0.055,0.13,10
WITA1,Serie A Femminile,Italie,1,F,3.1,0.22,0.071,-0.03,0.426,0.243,0.331,0.599,0.621,4,7.5,0.35,0.055,0.13,10
WSWE1,Damallsvenskan,Suede,1,F,3.0,0.22,0.073,-0.03,0.424,0.248,0.328,0.577,0.604,4,7.5,0.35,0.055,0.13,10
WAUS1,A-League Women,Australie,1,F,3.3,0.25,0.076,-0.03,0.435,0.234,0.33,0.641,0.653,4,7.5,0.35,0.055,0.13,10
WUCL,Women's Champions Lg,UEFA,0,F,3.6,0.15,0.042,-0.03,0.418,0.224,0.358,0.697,0.698,4,7.5,0.35,0.055,0.13,10
WENG2,Women's Championship,Angleterre,2,F,3.1,0.25,0.081,-0.03,0.433,0.243,0.324,0.599,0.62,4,7.5,0.35,0.055,0.13,10
